Case ID,Timestamp,Filename,Prediction,Confidence,Risk Type,Threat Level,Trust Score,Action
CID-7CE8FE30,2026-04-13 18:41:07,WhatsApp Video 2025-07-23 at 10.57.15 PM.mp4,AUTHENTIC,9.769019484519958,No Immediate Risk (Authentic),LOW,90.23098051548004,Media is certified authentic. No action required.
CID-7CE8FE30,2026-04-13 18:45:47,WhatsApp Video 2025-07-23 at 10.57.15 PM.mp4,AUTHENTIC,9.769019484519958,No Immediate Risk (Authentic),LOW,90.23098051548004,Media is certified authentic. No action required.
CID-CF493AB4,2026-04-14 00:32:37,Screenshot 2026-04-08 at 11.09.07 PM.png,Real,9.177212417125702,Personal Reputation Damage / General Deepfake,LOW,90.8227875828743,Do not circulate. Save as evidence.
CID-CF493AB4,2026-04-14 00:33:06,WhatsApp Video 2025-07-23 at 10.57.15 PM.mp4,AUTHENTIC,9.769019484519958,No Immediate Risk (Authentic),LOW,90.23098051548004,Media is certified authentic. No action required.
CID-CF493AB4,2026-04-14 00:34:18,musicinmedia-solo-piano-melancholic-drama-411737.mp3,Real,0.0,Personal Reputation Damage / General Deepfake,LOW,100.0,Do not circulate. Save as evidence.
CID-CF493AB4,2026-04-14 00:34:44,WhatsApp Video 2025-07-23 at 10.57.15 PM.mp4,AUTHENTIC,9.769019484519958,No Immediate Risk (Authentic),LOW,90.23098051548004,Media is certified authentic. No action required.
CID-FB5EDBD0,2026-04-14 00:39:56,adf9cb4466584d9d957ce4f94f7d2984.MP4,SYNTHETIC,99.64950680732727,Personal Reputation Damage / General Deepfake,HIGH,0.3504931926727295,Do not circulate. Save as evidence.
CID-330EB93B,2026-04-14 20:13:37,mollyroselee-falling-tree-ai-generated-431321.mp3,Real,0.0,Personal Reputation Damage / General Deepfake,LOW,100.0,Do not circulate. Save as evidence.
CID-330EB93B,2026-04-14 20:14:00,WhatsApp Video 2025-07-08 at 21.04.42.mp4,AUTHENTIC,47.25281000137329,No Immediate Risk (Authentic),LOW,52.74718999862671,Media is certified authentic. No action required.
CID-465F1E65,2026-04-14 20:20:26,adf9cb4466584d9d957ce4f94f7d2984.MP4,SYNTHETIC,99.64950680732727,Personal Reputation Damage / General Deepfake,HIGH,0.3504931926727295,Do not circulate. Save as evidence.
CID-C9949D4A,2026-04-14 21:41:26,WhatsApp Video 2025-07-22 at 12.12.08 AM.mp4,AUTHENTIC,5.05245104432106,No Immediate Risk (Authentic),LOW,94.94754895567894,Media is certified authentic. No action required.
CID-C9949D4A,2026-04-14 21:42:04,adf9cb4466584d9d957ce4f94f7d2984.MP4,SYNTHETIC,99.64950680732727,Personal Reputation Damage / General Deepfake,HIGH,0.3504931926727295,Do not circulate. Save as evidence.
CID-C9949D4A,2026-04-14 21:42:43,Screenshot 2026-04-08 at 11.09.07 PM.png,Real,9.177212417125702,Personal Reputation Damage / General Deepfake,LOW,90.8227875828743,Do not circulate. Save as evidence.
CID-C9949D4A,2026-04-14 21:45:07,OIP.8qvMzW_O8mYDRUyq2YsP0AHaHa.jpeg,Real,6.949008256196976,Personal Reputation Damage / General Deepfake,LOW,93.05099174380302,Do not circulate. Save as evidence.
CID-C9949D4A,2026-04-14 21:45:35,mollyroselee-falling-tree-ai-generated-431321.mp3,Real,0.0,Personal Reputation Damage / General Deepfake,LOW,100.0,Do not circulate. Save as evidence.
CID-3AFA4798,2026-04-15 09:32:26,WhatsApp Video 2025-07-22 at 12.12.08 AM-3.mp4,AUTHENTIC,4.212215915322304,No Immediate Risk (Authentic),LOW,95.7877840846777,Media is certified authentic. No action required.
CID-3AFA4798,2026-04-15 09:32:51,adf9cb4466584d9d957ce4f94f7d2984.MP4,SYNTHETIC,99.64950680732727,Personal Reputation Damage / General Deepfake,HIGH,0.3504931926727295,Do not circulate. Save as evidence.
CID-3AFA4798,2026-04-15 09:33:04,OIP.8qvMzW_O8mYDRUyq2YsP0AHaHa.jpeg,Real,6.949008256196976,Personal Reputation Damage / General Deepfake,LOW,93.05099174380302,Do not circulate. Save as evidence.
CID-3AFA4798,2026-04-15 09:33:18,mollyroselee-falling-tree-ai-generated-431321.mp3,Real,0.0,Personal Reputation Damage / General Deepfake,LOW,100.0,Do not circulate. Save as evidence.
CID-1C60EA6A,2026-04-15 09:55:46,WhatsApp Video 2025-07-08 at 21.04.42.mp4,AUTHENTIC,47.25281000137329,No Immediate Risk (Authentic),LOW,52.74718999862671,Media is certified authentic. No action required.
CID-1C60EA6A,2026-04-15 09:57:20,mollyroselee-falling-tree-ai-generated-431321.mp3,Real,0.0,Personal Reputation Damage / General Deepfake,LOW,100.0,Do not circulate. Save as evidence.
CID-1C60EA6A,2026-04-15 09:58:09,WhatsApp Video 2025-07-08 at 21.04.42.mp4,AUTHENTIC,47.25281000137329,No Immediate Risk (Authentic),LOW,52.74718999862671,Media is certified authentic. No action required.
CID-63E5D158,2026-04-16 10:01:32,adf9cb4466584d9d957ce4f94f7d2984.MP4,SYNTHETIC,99.64950680732727,Personal Reputation Damage / General Deepfake,HIGH,0.3504931926727295,Do not circulate. Save as evidence.
CID-63E5D158,2026-04-16 10:03:37,WhatsApp Video 2025-07-22 at 12.12.08 AM-3.mp4,AUTHENTIC,4.212215915322304,No Immediate Risk (Authentic),LOW,95.7877840846777,Media is certified authentic. No action required.
CID-63E5D158,2026-04-16 10:05:04,Gemini_Generated_Image_9cpa919cpa919cpa.png,Real,4.77149598300457,Personal Reputation Damage / General Deepfake,LOW,95.22850401699543,Do not circulate. Save as evidence.
CID-63E5D158,2026-04-16 10:06:40,OIP.axjzl-25CaEnxeRu0_kPuAHaFD.jpeg,Real,5.324547365307808,Personal Reputation Damage / General Deepfake,LOW,94.67545263469219,Do not circulate. Save as evidence.
CID-63E5D158,2026-04-16 10:07:26,WhatsApp Video 2025-07-22 at 12.12.08 AM-3.mp4,AUTHENTIC,4.212215915322304,No Immediate Risk (Authentic),LOW,95.7877840846777,Media is certified authentic. No action required.
CID-67A1EE33,2026-04-16 10:09:46,Gemini_Generated_Image_9cpa919cpa919cpa.png,Real,4.77149598300457,Personal Reputation Damage / General Deepfake,LOW,95.22850401699543,Do not circulate. Save as evidence.
CID-A0C5B26D,2026-04-16 10:12:02,Gemini_Generated_Image_9cpa919cpa919cpa.png,Real,4.77149598300457,Personal Reputation Damage / General Deepfake,LOW,95.22850401699543,Do not circulate. Save as evidence.
CID-A0C5B26D,2026-04-16 10:12:19,OIP.axjzl-25CaEnxeRu0_kPuAHaFD.jpeg,Real,5.324547365307808,Personal Reputation Damage / General Deepfake,LOW,94.67545263469219,Do not circulate. Save as evidence.
CID-A0C5B26D,2026-04-16 10:12:38,OIP.8qvMzW_O8mYDRUyq2YsP0AHaHa.jpeg,Real,6.949008256196976,Personal Reputation Damage / General Deepfake,LOW,93.05099174380302,Do not circulate. Save as evidence.
CID-A0C5B26D,2026-04-16 10:12:45,OIP.8qvMzW_O8mYDRUyq2YsP0AHaHa.jpeg,Real,6.949008256196976,Personal Reputation Damage / General Deepfake,LOW,93.05099174380302,Do not circulate. Save as evidence.
CID-ECF61962,2026-04-16 10:32:56,Gemini_Generated_Image_9cpa919cpa919cpa.png,Real,4.77149598300457,Personal Reputation Damage / General Deepfake,LOW,95.22850401699543,Do not circulate. Save as evidence.
CID-CFC1F085,2026-04-16 10:36:27,Gemini_Generated_Image_9cpa919cpa919cpa.png,Real,4.77149598300457,Personal Reputation Damage / General Deepfake,LOW,95.22850401699543,Do not circulate. Save as evidence.
CID-CFC1F085,2026-04-16 10:37:04,mollyroselee-falling-tree-ai-generated-431321.mp3,Real,0.0,Personal Reputation Damage / General Deepfake,LOW,100.0,Do not circulate. Save as evidence.
